xn=1,yn=1
75.179752,-0.251798
64.025640,-0.140256
68.494685,-0.184947
23.991240,0.260088
6.598066,0.394648
73.961740,-0.239617
19.380194,0.306198
14.488145,0.355119
31.460315,0.185397
99.521995,-0.983867
54.799548,-0.047995
12.929129,0.370709
28.731287,0.212687
90.040900,-0.400417
3.699037,0.212848
62.251623,-0.122516
46.596466,0.034035
52.428524,-0.024285
58.413584,-0.084136
89.180892,-0.149509
99.779998,-1.015397
10.736107,0.392639
64.278643,-0.142786
38.088381,0.119116
8.278083,0.412114
96.364964,-0.673145
20.680207,0.293198
38.589386,0.114106
37.137371,0.128626
64.172642,-0.141726
53.904539,-0.039045
59.694597,-0.096946
14.742147,0.352579
44.590446,0.054096
85.790858,-0.130654
75.115751,-0.251158
10.081101,0.399189
52.356524,-0.023565
51.359514,-0.013595
41.739417,0.082606
41.801418,0.081986
1.550016,-0.118848
71.099711,-0.210997
85.900859,-0.071410
83.365834,0.398453
71.608716,-0.216087
23.716237,0.262838
99.795998,-1.017386
6.673067,0.396445
17.247172,0.327528
37.261373,0.127386
76.186762,-0.261868
10.653107,0.393469
22.119221,0.278808
21.219212,0.287808
66.388664,-0.163887
8.246082,0.412144
22.531225,0.274688
95.011950,-0.578369
9.115091,0.408156
2.009020,-0.030360
73.804738,-0.238047
82.001820,0.585161
91.158912,-0.418312
30.633306,0.193667
78.397784,-0.283978
94.814948,-0.566325
35.025350,0.149746
86.801868,0.451597
44.665447,0.053346
28.163282,0.218367
61.560616,-0.115606
9.308093,0.406588
48.999490,0.010005
91.094911,-0.416949
98.045980,-0.821992
11.962120,0.380379
71.030710,-0.210307
41.696417,0.083036
83.736837,0.170902
36.786368,0.132136
90.412904,-0.404982
90.807908,-0.411344
72.265723,-0.222657
68.663687,-0.186637
47.304473,0.026955
40.465405,0.095346
53.801538,-0.038015
90.596906,-0.407751
26.310263,0.236897
20.727207,0.292728
87.655877,0.613880
79.331793,-0.293318
16.274163,0.337258
44.715447,0.052846
70.930709,-0.209307
83.757838,0.157497
19.336193,0.306638
51.861519,-0.018615
64.113641,-0.141136
66.786668,-0.167867
95.777958,-0.629399
30.001300,0.199987
16.794168,0.332058
44.057441,0.059426
56.817568,-0.068176
13.217132,0.367829
49.182492,0.008175
52.960530,-0.029605
8.348083,0.412011
90.393904,-0.404715
46.069461,0.039305
54.064541,-0.040645
96.824968,-0.710333
30.679307,0.193207
76.231762,-0.262318
52.945529,-0.029455
91.949919,-0.438570
37.648376,0.123516
88.960890,-0.020569
41.549415,0.084506
59.924599,-0.099246
37.540375,0.124596
45.034450,0.049655
9.004090,0.408971
70.869709,-0.208697
