xn=1,yn=1
40.951410,-1.322805
69.713697,-1.697137
89.093891,-1.221078
86.729867,-1.500441
17.726177,-0.593094
48.776488,-1.347153
91.976920,-0.757852
35.394354,-0.369214
64.941649,-1.649416
39.477395,-1.368060
79.193792,-1.791938
98.624986,0.823560
48.674487,-1.323132
65.539655,-1.655397
91.546915,-0.835486
99.402994,1.055427
30.969310,-1.219793
16.768168,-0.905713
94.060941,-0.339158
5.420054,0.589673
31.860319,-1.014198
61.446614,-1.614466
8.122081,0.885021
2.048020,-0.674528
53.462535,-0.750335
28.393284,-1.065876
27.491275,-0.771744
84.230842,-1.697318
8.758088,0.776746
68.561686,-1.685617
25.848258,-0.090995
1.254013,-0.877724
93.328933,-0.494240
44.648446,-0.458633
28.271283,-1.031793
86.444864,-1.528005
53.563536,-0.725833
14.359144,-1.107777
3.235032,-0.246391
94.062941,-0.338722
54.547545,-0.565544
65.089651,-1.650897
6.278063,0.809062
80.343803,-1.802481
32.726327,-0.756400
30.555306,-1.275426
39.871399,-1.397083
92.484925,-0.662275
22.351224,0.774547
14.380144,-1.110283
10.502105,0.203157
37.763378,-0.959999
3.081031,-0.307375
94.699947,-0.196683
12.469125,-0.613449
19.595196,0.150733
32.538325,-0.813344
51.201512,-1.376174
21.082211,0.617952
53.266533,-0.801055
1.556016,-0.810564
91.352914,-0.869531
54.415544,-0.577492
95.499955,-0.008986
40.919409,-1.328059
59.557596,-1.576383
67.283673,-1.672837
1.000010,-0.923544
17.767178,-0.577825
11.853119,-0.368486
56.470565,-0.763382
24.008240,0.566901
23.780238,0.621821
37.191372,-0.775562
23.254233,0.717965
59.150592,-1.521971
70.727707,-1.707277
58.732587,-1.436990
2.275023,-0.602024
26.216262,-0.248031
80.260803,-1.802057
21.031210,0.606320
73.404734,-1.734047
99.123991,0.971149
33.588336,-0.520003
60.852609,-1.608526
67.450675,-1.674507
17.732177,-0.590867
76.134761,-1.761348
86.999870,-1.473113
30.329303,-1.292628
62.028620,-1.620286
78.450785,-1.784508
22.817228,0.763012
21.528215,0.703007
49.961500,-1.499469
61.393614,-1.613936
72.696727,-1.726967
2.622026,-0.481320
88.397884,-1.312731
12.235122,-0.523387
5.212052,0.522731
34.099341,-0.418940
67.502675,-1.675027
47.035470,-0.826482
46.780468,-0.749379
87.833878,-1.381245
54.399544,-0.579160
2.350024,-0.576884
77.789778,-1.777898
16.030160,-1.068636
70.992710,-1.709927
22.653227,0.771409
56.973570,-0.907352
83.599836,-1.731032
3.759038,-0.033805
73.618736,-1.736187
90.336903,-1.037871
12.399124,-0.586962
7.201072,0.920160
11.052111,-0.027724
56.019560,-0.659330
55.288553,-0.561081
4.132041,0.118027
26.401264,-0.327332
44.143441,-0.512116
17.019170,-0.833333
73.012730,-1.730127
95.497955,-0.009468
8.245082,0.869240
97.535975,0.515475
84.474845,-1.682552
0.544005,-0.979589
67.425674,-1.674257
9.965100,0.412956
27.991280,-0.946324
44.050441,-0.526886
29.293293,-1.249437
32.852329,-0.718738
78.665787,-1.786658
8.986090,0.722567
26.396264,-0.325191
26.345263,-0.303346
7.718077,0.918650
86.753868,-1.498059
82.694827,-1.768125
32.836328,-0.723487
26.119261,-0.206456
7.483075,0.925144
50.823508,-1.442783
16.688167,-0.927106
6.116061,0.775465
2.537025,-0.511879
59.447594,-1.564660
62.451625,-1.624516
16.456165,-0.984234
29.562296,-1.278862
85.845858,-1.581649
31.130311,-1.190420
65.863659,-1.658637
51.860519,-1.214142
36.865369,-0.674520
56.282563,-0.716579
38.441384,-1.163213
2.039020,-0.677285
17.799178,-0.565825
5.358054,0.570207
10.872109,0.048909
53.256533,-0.803743
61.997620,-1.619976
31.474315,-1.115125
20.536205,0.474961
7.579076,0.923661
91.363914,-0.867617
18.245182,-0.392337
27.394274,-0.735112
49.813498,-1.494706
94.288943,-0.289081
75.662757,-1.756628
22.432224,0.775275
69.672697,-1.696727
57.673577,-1.131158
22.255223,0.772196
16.887169,-0.872365
74.741747,-1.747417
70.150702,-1.701507
88.901889,-1.247146
2.635026,-0.476595
89.980900,-1.092900
83.539835,-1.733902
13.665137,-0.984360
88.842888,-1.255036
83.419834,-1.739467
93.690937,-0.418631
83.742837,-1.723957
40.612406,-1.369563
53.410534,-0.763404
83.713837,-1.725418
6.174062,0.787945
